epoch,accuracy,loss,val_accuracy,val_loss
0,0.7289999723434448,0.9099761843681335,0.7774999737739563,0.5271610021591187
1,0.8560000061988831,0.37383177876472473,0.8862500190734863,0.2877783477306366
2,0.875,0.3300132155418396,0.8999999761581421,0.25667139887809753
3,0.8980000019073486,0.23890437185764313,0.8899999856948853,0.26855239272117615
4,0.8960000276565552,0.29182565212249756,0.8675000071525574,0.3107370436191559
5,0.9340000152587891,0.17707981169223785,0.8899999856948853,0.31973254680633545
6,0.9430000185966492,0.1653357297182083,0.8999999761581421,0.33309435844421387
7,0.949999988079071,0.15521039068698883,0.8974999785423279,0.3501752018928528
8,0.9430000185966492,0.14229318499565125,0.9075000286102295,0.3226684629917145
9,0.9639999866485596,0.09806227684020996,0.8899999856948853,0.4133295714855194
